"uniprotID","proteinName","radiality","integration"
"P29275","Adenosine receptor A2b",0.681098449715119,0.725475906541231
"Q86UQ4","ATP-binding cassette sub-family A member 13",0.73141645687028,0.77724040457577
"P36544","Neuronal acetylcholine receptor subunit alpha-7",0.681098449715119,0.725475906541231
"P17787","Neuronal acetylcholine receptor subunit beta-2",0.700421801157193,0.746455545249768
"P11229","Muscarinic acetylcholine receptor M1",0.681098449715119,0.725475906541231
"P08173","Muscarinic acetylcholine receptor M4",0.681098449715119,0.725475906541231
"P62736","Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein)",0.681098449715119,0.725475906541231
"P68133","Actin, alpha skeletal muscle (Alpha-actin-1)",0.703888962501656,0.75047480234972
"P18825","Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)",0.703888962501656,0.75047480234972
"P61981","14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",0.681098449715119,0.725475906541231
"P31947","14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)",0.681098449715119,0.725475906541231
"P27348","14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)",0.681098449715119,0.725475906541231
"P04439","HLA class I histocompatibility antigen, A-3 alpha chain (MHC class I antigen A*3)",0.703888962501656,0.75047480234972
"P13746","HLA class I histocompatibility antigen, A-11 alpha chain (MHC class I antigen A*11)",0.733702133297999,0.779802128881233
"P18462","HLA class I histocompatibility antigen, A-25 alpha chain (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*25)",0.681098449715119,0.725475906541231
"P16188","HLA class I histocompatibility antigen, A-30 alpha chain (MHC class I antigen A*30)",0.681098449715119,0.725475906541231
"P30457","HLA class I histocompatibility antigen, A-66 alpha chain (Aw-66) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*66)",0.703888962501656,0.75047480234972
"P10316","HLA class I histocompatibility antigen, A-69 alpha chain (Aw-69) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*69)",0.681098449715119,0.725475906541231
"Q09160","HLA class I histocompatibility antigen, A-80 alpha chain (Aw-80) (HLA class I histocompatibility antigen, A-1 alpha chain) (MHC class I antigen A*80)",0.681098449715119,0.725475906541231
"P30460","HLA class I histocompatibility antigen, B-8 alpha chain (MHC class I antigen B*8)",0.708846782385937,0.756636190980964
